INDEX,BORO_NM,RPT_DT,CMPLNT_FR_TM,Latitude,Longitude
1,QUEENS,12/31/2015,23,40.697338138,-73.784556739
1093,BROOKLYN,12/31/2015,15,40.650467172,-73.957267875
1768,BRONX,12/30/2015,2,40.877554428,-73.87293947100001
2363,BRONX,12/30/2015,23,40.852141187,-73.922375722
3583,MANHATTAN,12/29/2015,23,40.810877241,-73.941064151
3820,BROOKLYN,12/28/2015,17,40.595161807,-73.937981421
3821,BROOKLYN,12/28/2015,17,40.595161807,-73.937981421
4855,BROOKLYN,12/28/2015,3,40.612714054,-73.961390818
6321,QUEENS,12/26/2015,16,40.697367985999996,-73.791826985
7331,BROOKLYN,12/19/2015,16,40.676051596,-73.934611088
7476,BROOKLYN,12/19/2015,6,40.678410246,-73.926961963
7954,BRONX,12/24/2015,22,40.858045026,-73.90410211300001
13336,BRONX,12/20/2015,9,40.863507284,-73.904466615
16612,BROOKLYN,12/17/2015,21,40.685610573000005,-73.942912796
21232,STATEN ISLAND,12/14/2015,4,40.645014517,-74.07720963
22726,BROOKLYN,12/13/2015,0,40.687864317,-73.94939048399999
24557,BROOKLYN,12/11/2015,21,40.643647334,-73.952688708
24654,BROOKLYN,12/11/2015,20,40.575442769,-73.987794763
26675,BRONX,12/10/2015,7,40.848353408,-73.858660142
27340,BROOKLYN,12/10/2015,1,40.699860845,-73.98477864
27978,STATEN ISLAND,12/09/2015,8,40.539296108,-74.220783054
30058,BROOKLYN,12/07/2015,21,40.635970966,-74.012655151
31874,BRONX,12/06/2015,6,40.838986067,-73.922770541
32774,BROOKLYN,12/05/2015,16,40.652693383,-73.91360164
35377,BROOKLYN,12/03/2015,17,40.657374916,-73.92373765399999
35665,BRONX,12/03/2015,11,40.87058038,-73.868245145
38488,BRONX,12/01/2015,3,40.844209946999996,-73.855083584
42318,STATEN ISLAND,11/28/2015,0,40.640983725,-74.086926573
42684,BROOKLYN,11/27/2015,22,40.667576169,-73.90729576300001
42685,BROOKLYN,11/27/2015,22,40.667576169,-73.90729576300001
43909,BROOKLYN,11/26/2015,23,40.668067541999996,-73.904018382
44362,BROOKLYN,11/09/2015,11,40.664297758000004,-73.902589205
45146,BRONX,11/25/2015,13,40.832224679,-73.906379774
46536,BROOKLYN,11/24/2015,11,40.651372334,-73.96344425
46614,BRONX,11/24/2015,9,40.842646326,-73.893682921
50428,QUEENS,11/21/2015,3,40.742605175,-73.915491518
51232,BROOKLYN,11/20/2015,17,40.648060922,-73.946371991
51426,BRONX,11/20/2015,14,40.901332179,-73.842211382
53729,BRONX,11/18/2015,23,40.864694331,-73.899576908
54454,BROOKLYN,11/18/2015,3,40.683809179,-73.98297591
57100,BROOKLYN,10/31/2015,6,40.651149094000004,-73.895036788
